repetitiveness_score,len,ppl
25.0,8,4.884864109004558
0.0,3,14.647442875810853
0.0,3,10.24294104317831
25.0,8,4.884864109004558
0.0,2,7.365659242269421
11.702127659574469,200,1.2608524822856888
0.0,17,2.1891308617627807
14.117647058823529,200,1.4379112781599213
25.806451612903224,46,2.0388797591017274
9.67741935483871,37,1.3824166759692766
0.0,11,2.97229248113976
0.0,2,7.365659242269421
0.0,8,3.1484204803189844
25.0,8,4.884864109004558
0.0,7,4.686145380770219
16.666666666666664,14,3.586829807261187
25.0,8,5.218734186468367
33.33333333333333,3,7.256112856659052
0.0,7,4.686145380770219
25.0,8,4.884864109004558
25.0,8,4.884864109004558
25.0,8,4.884864109004558
0.0,5,7.597769586038979
0.0,7,4.686145380770219
14.117647058823529,200,1.4379112781599213
0.0,2,14.524273791152435
3.3333333333333335,200,1.0853489496955357
31.818181818181817,38,2.2208477262559536
25.0,8,4.884864109004558
15.0,29,1.4832130536179833
0.0,23,1.6513190485444191
0.0,14,2.763077681197951
1.4705882352941175,200,1.0448202011530698
2.127659574468085,137,1.1246094510717675
2.857142857142857,200,1.0652537449034944
0.0,40,3.1490901241309253
20.0,11,2.5875376227467397
14.117647058823529,200,1.4379112781599213
9.67741935483871,37,1.3824166759692766
1.4705882352941175,200,1.0448202011530698
1.4705882352941175,200,1.0448202011530698
14.117647058823529,200,1.4379112781599213
33.33333333333333,5,3.392454845322666
0.0,2,7.365659242269421
10.273972602739725,200,1.2935650513681125
0.0,2,14.524273791152435
5.555555555555555,50,1.4704182786426945
25.0,8,4.884864109004558
41.37931034482759,33,2.6406773378029307
9.67741935483871,37,1.3824166759692766
25.0,8,4.884864109004558
15.0,29,1.4832130536179833
25.757575757575758,200,1.7081280995146844
0.0,8,2.577225231115521
1.4705882352941175,200,1.0851840989470014
0.0,17,2.094622326112401
16.666666666666664,14,3.586829807261187
33.33333333333333,5,4.791512313179204
6.451612903225806,74,1.4079497377482555
1.4705882352941175,200,1.0655286055550852
41.37931034482759,33,2.6406773378029307
11.564625850340136,200,1.5520683539836573
14.117647058823529,200,1.4379112781599213
20.0,7,2.051415917486674
22.900763358778626,200,1.528031830728208
25.0,8,4.884864109004558
0.0,2,7.365659242269421
9.67741935483871,37,1.3824166759692766
0.0,14,3.6136909906682324
0.0,44,1.506980583359336
0.0,11,2.2469976214027922
25.757575757575758,200,1.7081280995146844
25.806451612903224,46,2.0388797591017274
25.757575757575758,200,1.7081280995146844
13.636363636363635,28,1.7898601396152929
9.67741935483871,37,1.3824166759692766
0.0,14,3.503563773739721
25.757575757575758,200,1.7081280995146844
0.0,8,2.577225231115521
8.51063829787234,200,1.1981285222466482
25.0,8,4.884864109004558
10.273972602739725,200,1.2935650513681125
0.0,14,1.2815648732856144
25.0,8,4.884864109004558
0.0,14,2.763077681197951
0.0,7,4.686145380770219
13.636363636363635,28,1.7898601396152929
0.0,15,2.1760293253437784
25.0,8,4.884864109004558
0.0,7,4.506169184033826
15.0,29,1.4832130536179833
9.67741935483871,37,1.3824166759692766
15.0,29,1.4832130536179833
25.806451612903224,46,2.0388797591017274
23.18840579710145,91,1.701976405796387
0.0,14,2.763077681197951
0.0,2,7.365659242269421
25.0,8,4.884864109004558
25.757575757575758,200,1.7081280995146844
25.0,8,4.884864109004558
9.67741935483871,37,1.3824166759692766
15.0,29,1.4832130536179833
25.0,8,4.884864109004558
25.0,8,4.884864109004558
1.4705882352941175,200,1.0448202011530698
4.166666666666666,200,1.096271187521666
0.0,2,11.633744386072692
25.0,8,4.884864109004558
35.294117647058826,26,2.7070044112884832
25.0,8,4.884864109004558
25.0,8,4.884864109004558
0.0,7,4.686145380770219
15.0,29,1.4832130536179833
33.33333333333333,5,4.791512313179204
0.0,59,1.3787891085525257
9.67741935483871,37,1.3824166759692766
9.67741935483871,37,1.3824166759692766
3.3333333333333335,200,1.0893817073568757
16.666666666666664,14,3.586829807261187
25.0,8,4.884864109004558
25.0,8,4.884864109004558
0.0,8,2.577225231115521
9.67741935483871,37,1.3824166759692766
0.0,14,2.756192162478267
0.0,2,9.705059823821896
33.33333333333333,5,4.791512313179204
25.0,8,4.884864109004558
10.0,14,2.8477976703191072
10.273972602739725,200,1.2935650513681125
0.0,3,4.125945221079521
33.33333333333333,5,4.791512313179204
0.0,16,2.146963539789868
0.0,16,2.1051073574527974
0.9900990099009901,200,1.1017939199234292
0.0,26,1.0988861936704541
0.0,16,2.1051073574527974
0.0,44,1.3747486600337064
7.142857142857142,41,1.0700586232993714
36.36363636363637,13,2.769478110700554
0.0,23,1.7075843083147517
23.18840579710145,91,1.701976405796387
0.0,2,8.444866569149017
25.0,8,4.884864109004558
15.789473684210526,31,2.2431256671915305
0.0,59,1.3671869088247557
16.666666666666664,14,3.586829807261187
3.8461538461538463,74,1.1838420907479672
0.0,16,2.1051073574527974
15.0,29,1.4832130536179833
33.33333333333333,5,4.791512313179204
0.0,2,14.524273791152435
0.0,2,7.365659242269421
33.33333333333333,5,4.819737101124235
25.757575757575758,200,1.7081280995146844
0.0,16,2.1051073574527974
0.0,7,4.686145380770219
15.0,29,1.4832130536179833
23.18840579710145,91,1.701976405796387
20.0,11,3.308894896255746
25.757575757575758,200,1.7081280995146844
30.76923076923077,200,1.157341342740326
25.0,8,4.884864109004558
1.4705882352941175,200,1.042788380185392
33.33333333333333,5,4.819737101124235
25.0,8,4.884864109004558
1.4705882352941175,200,1.042788380185392
14.117647058823529,200,1.4379112781599213
0.0,16,2.1051073574527974
0.0,16,2.1051073574527974
1.4705882352941175,200,1.0448202011530698
7.142857142857142,41,1.0700586232993714
35.294117647058826,26,2.7070044112884832
10.273972602739725,200,1.2935650513681125
1.4705882352941175,200,1.0448202011530698
23.18840579710145,91,1.701976405796387
0.0,5,10.688636375668628
14.117647058823529,200,1.4379112781599213
0.0,5,2.7243515963044826
9.67741935483871,37,1.3824166759692766
9.090909090909092,29,1.8798943076276888
13.636363636363635,28,1.7898601396152929
10.273972602739725,200,1.2935650513681125
15.0,29,1.4832130536179833
8.791208791208792,200,1.2385680128966903
0.0,8,2.577225231115521
25.757575757575758,200,1.7081280995146844
23.18840579710145,91,1.701976405796387
13.636363636363635,37,2.2209575905219068
10.273972602739725,200,1.2935650513681125
0.0,23,1.6686230707542573
9.67741935483871,37,1.3824166759692766
25.0,8,4.884864109004558
10.273972602739725,200,1.2935650513681125
16.666666666666664,14,3.586829807261187
25.0,8,4.884864109004558
25.0,8,4.884864109004558
25.0,8,4.884864109004558
10.273972602739725,200,1.2935650513681125
0.0,5,10.688636375668628
7.142857142857142,41,1.0700586232993714
25.806451612903224,46,2.0388797591017274
0.0,17,2.051238042337254
16.666666666666664,14,3.586829807261187
15.0,29,1.4832130536179833
7.142857142857142,41,1.0700586232993714
25.0,8,4.318643243608388
0.0,16,2.2778714050959
25.0,8,4.884864109004558
25.0,8,4.884864109004558
25.0,8,4.884864109004558
19.047619047619047,160,1.8582493095618244
38.88888888888889,42,2.2131120008238843
0.0,2,12.743769873388931
48.07692307692308,99,1.1013728039211443
23.076923076923077,34,2.5556260311776624
14.285714285714285,200,1.3950509285223247
15.942028985507244,88,1.7330740586184477
13.333333333333334,41,1.5327334813458304
0.0,7,5.027145662482924
2.9702970297029703,200,1.1085088488482575
16.666666666666664,19,2.14024932992758
0.0,8,4.158744962068477
33.33333333333333,7,4.13879679098839
21.48148148148148,195,1.7639761928398747
16.666666666666664,7,2.72760879380147
33.33333333333333,7,4.662199637148793
2.797202797202797,200,1.1459476126523775
0.0,13,3.3193637673255605
23.809523809523807,57,1.8058286945319695
26.25,92,1.845082029912001
0.0,11,2.738532246499171
8.47457627118644,90,1.64653941241142
28.57142857142857,47,1.1525652773370951
33.33333333333333,13,2.7970134942652565
25.0,11,3.1732694907185395
25.0,11,3.267402097436558
1.3157894736842104,124,1.1688218060110098
21.73913043478261,81,1.8723884162467626
9.090909090909092,39,1.8175849158273654
0.0,17,2.330772843737801
25.510204081632654,191,1.114308992826776
0.0,10,3.472846964915488
25.0,11,2.7824029072857246
14.285714285714285,10,2.821186484230495
20.0,15,2.261718413442894
25.0,3,13.515089656503507
0.0,7,3.26783406138836
0.0,2,12.704162832372038
5.88235294117647,21,1.7268730487095674
43.333333333333336,41,2.898527483258509
31.70731707317073,47,2.0803576082113313
30.23255813953488,102,1.6307741468933925
11.904761904761903,200,1.635330447518164
20.454545454545457,57,1.197341845775285
0.0,7,6.42741305957203
0.0,13,3.4671724013890084
48.07692307692308,99,1.1013728039211443
33.33333333333333,13,2.7970134942652565
14.285714285714285,8,1.5518710786661922
1.4492753623188406,200,1.055839847768986
2.127659574468085,124,1.2875248617215056
5.88235294117647,21,1.7589431754405114
0.0,3,7.4142818069497745
0.0,31,1.152248091076765
0.0,7,2.8753703948324123
1.4492753623188406,200,1.0604060899007124
0.0,2,16.765377726765962
5.319148936170213,200,1.081208828087901
27.835051546391753,117,2.186231315076635
0.0,73,1.91340623235398
23.076923076923077,34,2.5596798556758493
33.33333333333333,7,4.919837053696563
1.9607843137254901,200,1.0613594594038342
7.5,200,1.206865991469114
12.5,11,3.293964216427235
0.0,14,3.8198774450170667
7.5,200,1.1998470036924271
25.0,11,2.6956874868415364
0.0,23,2.138671645681604
0.0,5,5.9016362606479635
0.0,63,2.1580293141276945
0.0,7,3.8937897099081877
4.3478260869565215,65,1.356733332412823
33.33333333333333,13,2.7970134942652565
25.0,11,3.081740465180091
0.0,2,51.06556909757935
48.07692307692308,99,1.1013728039211443
0.0,33,1.9090197692567186
0.0,15,1.4824511676100334
12.5,11,2.478689556392256
0.0,31,1.152248091076765
0.0,4,5.411745540261104
25.0,11,3.46293244536161
9.62962962962963,199,1.4715055069081862
11.29032258064516,200,1.1520894047024461
0.0,7,4.277596178911802
4.166666666666666,200,1.1138249285869704
9.090909090909092,12,3.244685167130431
27.27272727272727,34,1.5257873009875271
0.0,6,5.302055815205612
10.0,35,1.61410823316362
25.0,31,2.030532175415988
0.0,2,51.06556909757935
12.0,35,2.716152709321594
0.0,4,8.30181092529295
7.6923076923076925,14,3.1413917130310307
25.0,4,2.314521292040234
18.84057971014493,94,1.0663334151837072
0.0,11,3.7458307631612544
14.285714285714285,12,1.4366590928756502
25.0,11,3.1578467258909244
9.090909090909092,12,5.091384549515186
25.0,11,3.271368952989583
25.0,11,3.358603659837502
10.344827586206897,31,2.3910101052059383
18.84057971014493,94,1.0654442818730545
3.8834951456310676,199,1.1034474685809093
25.0,14,4.345820931002776
21.705426356589147,163,1.7839396900720386
0.0,18,3.8316169151297075
25.0,11,3.569101398168993
11.11111111111111,10,4.871617873077526
12.5,11,2.580965273610556
15.0,26,1.5585369943997467
30.23255813953488,54,2.257999980310339
0.0,14,3.517597766603775
33.33333333333333,13,2.7970134942652565
5.172413793103448,200,1.3745697477012335
13.513513513513514,43,1.2125696863228623
0.0,3,14.91359732316852
33.33333333333333,7,5.5707162868352516
4.0,34,1.2341975146394826
20.0,15,2.971827548783758
1.9230769230769231,200,1.1040171093004927
12.5,11,2.540673339687596
37.5,25,2.957437649718621
33.33333333333333,7,4.919837053696563
12.5,11,2.238004366009567
0.0,3,7.795853939071719
9.090909090909092,39,1.5314996978824096
29.72972972972973,43,2.536853960227089
0.0,77,1.2075045172299281
10.0,15,1.819436828346124
2.631578947368421,200,1.1151786496874971
0.0,7,6.42741305957203
0.0,2,6.511146835590703
9.090909090909092,29,1.5463454012794886
30.0,13,3.644362911983137
2.127659574468085,183,1.1283586208467624
43.75,47,2.123022740875644
0.0,6,5.302055815205612
33.33333333333333,13,2.7970134942652565
0.0,3,5.410766321005623
0.0,6,5.302055815205612
8.064516129032258,200,1.1258246636007663
20.161290322580644,200,1.0909795818856312
11.363636363636363,200,1.1256469154493633
25.0,11,3.1251498626169973
5.263157894736842,20,2.7056785877120544
0.0,8,3.6788515408299336
28.57142857142857,15,2.068968835795128
0.0,6,5.302055815205612
44.18604651162791,59,2.1308213374801066
7.926829268292683,200,1.2055418373172306
27.906976744186046,185,1.6214443209208076
33.33333333333333,13,2.7970134942652565
36.11111111111111,129,1.5152980921531105
1.9607843137254901,200,1.0744704967705148
0.0,6,6.758815574827945
20.0,15,1.7479871752431293
31.25,35,2.0469159537681287
11.864406779661017,200,1.314299348796483
20.0,19,2.0824877701888433
0.0,15,2.1158680369357414
22.22222222222222,17,2.421211831492964
0.0,14,3.6420816509060354
0.0,8,3.7397587566119266
40.0,45,1.7389723410787654
0.0,3,26.552146466524817
0.0,3,26.552146466524817
0.0,3,7.093092237902034
20.0,19,1.8752580632438396
40.42553191489361,55,1.8418971424145625
35.82089552238806,86,1.9906611627631179
14.285714285714285,32,1.3437242565170444
16.528925619834713,200,1.659759822858577
8.0,182,1.2764514968297658
16.666666666666664,24,2.163292356729956
0.0,15,2.2019728060348345
33.33333333333333,17,2.190875292082908
0.0,6,2.5936026955994302
22.22222222222222,14,3.028731777907262
21.428571428571427,23,2.477705469319881
16.666666666666664,24,1.90272653747979
3.932584269662921,200,1.0337388707381463
43.47826086956522,31,2.7822886298908744
0.0,3,26.552146466524817
0.0,14,3.9068929806806727
2.941176470588235,200,1.0799094276986738
0.0,13,3.0570794459420547
30.18867924528302,62,1.8356130794778178
14.285714285714285,14,1.6691342107976546
11.11111111111111,17,3.329280479862333
0.0,8,3.0593809166659796
29.411764705882355,54,2.0737978407186692
11.11111111111111,8,3.9983724243942724
42.857142857142854,65,1.7281557076992877
3.932584269662921,200,1.0337388707381463
25.0,14,2.9549478577175416
9.67741935483871,33,1.1358584990759388
0.0,15,2.2026790674744623
3.932584269662921,200,1.0337388707381463
29.6875,83,1.7614229058419686
8.695652173913043,30,1.638351189027742
8.0,182,1.2764514968297658
0.0,15,2.0922442996147086
25.0,14,2.688855522891055
13.333333333333334,200,1.1806947640719017
8.108108108108109,200,1.4163868769778178
7.142857142857142,30,1.5028876199051693
